Madrid;jul-12;HB;-;HB;HB;HB;SRP;MenC;DTPa;-;-;Tdpa;-;-;Var*;-;-;Tdpa;-
;;;;DTPa;DTPa;DTPa;;Var;Hib;;;SRP;;;;;;3 VPH;
;;;;Hib;Hib;Hib;;;VPI;;;;;;;;;;
;;;;VPI;VPI;VPI;;;;;;;;;;;;;
;;;;MenC;MenC;;;;;;;;;;;;;;
Murcia;ene-13;-;-;HB;HB;HB;MenC;-;DTPa;-;-;SRP;Tdpa;-;MenC;-;-;Td;-
;;;;DTPa;DTPa;DTPa;SRP;;Hib;;;;;;2;;;3 VPH;
;;;;Hib;Hib;Hib;;;VPI;;;;;;Var*;;;;
;;;;VPI;VPI;VPI;;;;;;;;;3 VPH;;;;
;;;;MenC;MenC;;;;;;;;;;;;;;
Navarra;may-11;-;-;HB;HB;HB;-;MenC;DTPa;-;SRP;-;Tdpa;2;-;-;3 VPH;Td;-
;;;;DTPa;DTPa;DTPa;;SRP;Hib;;Var;;;Var*;;;;;
;;;;Hib;Hib;Hib;;Var;VPI;;;;;;;;;;
;;;;VPI;VPI;VPI;;;;;;;;;;;;;
;;;;MenC;MenC;;;;;;;;;;;;;;
La Rioja;sep-13;-;-;HB;HB;HB;MenC;-;DTPa;-;SRP;-;Tdpa;-;-;MenC;-;Td;-
;;;;DTPa;DTPa;DTPa;SRP;;Hib;;;;;;;2 Var*;;3 VPH;
;;;;Hib;Hib;Hib;;;VPI;;;;;;;;;;
;;;;VPI;VPI;VPI;;;;;;;;;;;;;
;;;;MenC;MenC;;;;;;;;;;;;;;
País Vasco;abr-13;-;-;HB;HB;HB;MenC;-;DTPa;-;-;SRP;Tdpa;Var*;-;-;3 VPH;-;Td
;;;;DTPa;DTPa;DTPa;SRP;;Hib;;;;;;;;;;
;;;;Hib;Hib;Hib;;;VPI;;;;;;;;;;
;;;;VPI;VPI;VPI;;;;;;;;;;;;;
;;;;MenC;MenC;;;;;;;;;;;;;;
